State,2018Population,2018Growth,PovertyRate,PropertyTax,IncomeTax,SalesTax,TotalTax
Alabama,4888949,0.0029,0.192,0.0141,0.0186,0.0397,0.2644
Alaska,738068,-0.0023,0.114,0.0354,0,0.014,0.1634
Arizona,7123898,0.0153,0.182,0.0262,0.0139,0.042,0.2641
Arkansas,3020327,0.0053,0.187,0.0179,0.0229,0.0491,0.2769
California,39776830,0.0061,0.164,0.0266,0.0365,0.0326,0.2597
Colorado,5684203,0.0137,0.121,0.0267,0.0226,0.0317,0.202
Connecticut,3588683,0.0001,0.108,0.0417,0.0334,0.0268,0.2099
Delaware,971180,0.0096,0.13,0.0182,0.027,0.0116,0.1868
Florida,21312211,0.0156,0.166,0.0272,0,0.0392,0.2324
Georgia,10545138,0.0111,0.184,0.0275,0.0231,0.0303,0.2649
Hawaii,1426393,-0.0008,0.115,0.022,0.0285,0.0652,0.2307
Idaho,1753860,0.0215,0.148,0.0248,0.023,0.0309,0.2267
Illinois,12768320,-0.0026,0.143,0.0411,0.0244,0.0353,0.2438
Indiana,6699629,0.0049,0.152,0.0233,0.0233,0.039,0.2376
Iowa,3160553,0.0047,0.123,0.0343,0.025,0.0339,0.2162
Kansas,2918515,0.0019,0.135,0.0307,0.0166,0.0381,0.2204
Kentucky,4472265,0.0041,0.19,0.0203,0.0316,0.036,0.2779
Louisiana,4682509,-0.0004,0.199,0.0203,0.0149,0.0491,0.2833
Maine,1341582,0.0042,0.14,0.048,0.0269,0.0353,0.2502
Maryland,6079602,0.0045,0.104,0.0277,0.0392,0.0276,0.1985
Massachusetts,6895917,0.0053,0.117,0.036,0.034,0.0203,0.2073
Michigan,9991177,0.0029,0.162,0.0321,0.0218,0.0314,0.2473
Minnesota,5628162,0.0092,0.114,0.03,0.037,0.0367,0.2177
Mississippi,2982785,-0.0004,0.219,0.028,0.0172,0.048,0.3122
Missouri,6135888,0.0037,0.155,0.0234,0.0242,0.0319,0.2345
Montana,1062330,0.0113,0.152,0.0355,0.0269,0.014,0.2284
Nebraska,1932549,0.0065,0.123,0.0383,0.0239,0.0295,0.2147
Nevada,3056824,0.0196,0.154,0.0223,0,0.0598,0.2361
New Hampshire,1350575,0.0058,0.092,0.056,0.0013,0.0134,0.1627
New Jersey,9032872,0.003,0.111,0.0512,0.0246,0.0244,0.2112
New Mexico,2090708,0.0013,0.206,0.0203,0.0175,0.0516,0.2954
New York,19862512,0.0007,0.159,0.0462,0.0478,0.0364,0.2894
North Carolina,10390149,0.0114,0.172,0.023,0.027,0.0332,0.2552
North Dakota,755238,-0.0002,0.111,0.022,0.0128,0.0521,0.1979
Ohio,11694664,0.0031,0.158,0.029,0.0271,0.0387,0.2528
Oklahoma,3940521,0.0025,0.166,0.0154,0.0189,0.0374,0.2377
Oregon,4199563,0.0137,0.164,0.0317,0.041,0.0111,0.2478
Pennsylvania,12823989,0.0014,0.136,0.0298,0.0256,0.0312,0.2226
Rhode Island,1061712,0.002,0.148,0.047,0.0231,0.0313,0.2494
South Carolina,5088916,0.0128,0.179,0.0291,0.0197,0.03,0.2578
South Dakota,877790,0.0093,0.141,0.029,0,0.0432,0.2132
Tennessee,6782564,0.0099,0.182,0.0205,0.0011,0.0431,0.2467
Texas,28704330,0.0141,0.172,0.037,0,0.0445,0.2535
Utah,3159345,0.0185,0.118,0.0246,0.0266,0.0324,0.2016
Vermont,623960,0.0005,0.122,0.052,0.0232,0.0342,0.2314
Virginia,8525660,0.0066,0.118,0.0292,0.0273,0.0212,0.1957
Washington,7530552,0.0169,0.132,0.0266,0,0.0549,0.2135
West Virginia,1803077,-0.007,0.183,0.0243,0.0287,0.041,0.277
Wisconsin,5818049,0.0039,0.132,0.0352,0.0267,0.0307,0.2246
Wyoming,573720,-0.0097,0.106,0.0417,0,0.0386,0.1863
